Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,+1uF,C_0402_1005Metric,132.7,-60.6,-90,top
C2,+0.1uF,C_0402_1005Metric,133.1,-45.1,90,top
C3,+0.1uF,C_0402_1005Metric,136.160589,-49.589411,45,top
C4,+0.1uF,C_0402_1005Metric,136.02,-51.25,0,top
C5,+0.1uF,C_0402_1005Metric,134.6,-49.8,90,top
C6,+0.1uF,C_0402_1005Metric,136.45,-55.6,0,top
C7,+0.1uF,C_0402_1005Metric,125.6,-55.8,180,top
C8,+0.1uF,C_0402_1005Metric,132.1,-45.82,90,top
C9,+0.1uF,C_0402_1005Metric,126.08,-51,180,top
C10,+1uF,C_0402_1005Metric,133.75,-60.6,-90,top
C11,+0.1uF,C_0402_1005Metric,133.6,-49.3,90,top
C12,+0.1uF,C_0402_1005Metric,131.1,-45.82,90,top
C13,10uF,C_0402_1005Metric,127.2,-33.75,180,top
C14,10uF,C_0402_1005Metric,128.22,-39,180,top
C15,33pF,C_0402_1005Metric,127.3,-62.5,-90,top
C16,33pF,C_0402_1005Metric,132.7,-62.5,90,top
C17,0.1uF,C_0402_1005Metric,128.52,-44.75,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,130.84,-27.59,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,122.11,-26.87,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,139.89,-26.87,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,128.3,-74.89,90,top
R1,5.1k,D_0402_1005Metric,132.3,-33.9,-90,top
R2,5.1k,D_0402_1005Metric,129.7,-33.97,-90,top
R3,27,D_0402_1005Metric,132.54,-49,90,top
R4,27,D_0402_1005Metric,131.54,-49,90,top
R5,1k,D_0402_1005Metric,131.085,-60.2,180,top
R6,1k,D_0402_1005Metric,136.165,-39.6,180,top
R7,10k,D_0402_1005Metric,126.415,-44.6,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,135.35,-35.85,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,130.84,-54.59,0,top
U3,MCP1700x-330xxTT,SOT-23,128.25,-36.5,90,top
U4,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,127.575,-46.75,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,130,-62.65,180,top